lnBtsId,SiteName,SiteNameCV,營運處,營運中心,基維股,縣市,鄉鎮,operationalState_BTS,nCo_lnBtsId,lnBtsIdLL_Sec,lnBtsIdLL_NameChs,Co-Site,bts_Config,eNBType,actLteNrDualConnectivity,nrBtsId,nrFreqBand,operationalState_nrBts,nrSecId,nrSecPCI,lnSecIdBts,lnSecPCI,lnSecBts_Count,AnchorBand,enDcDMeas_freqBandIndicatorNr,enDcDMeas_b1ThresholdNrRsrp,freqLayListEndcHo,rfSharingEnabled,sharedRfTechnologies,Sys_Module,Sub-Module,RF_Module,Coverage Objective,sw_Version,swRelease,IP address,activeSyncMode,activeTimeSource,selectedSyncInput,actOperatorQCI,QCIop_listId,QCIop_qci,QCIop_lteNrDualConnectSupport,QCIop_prio,QCIop_schedulWeight,RANtype,LAR,LARport,Sub-Module_RF-Module,Total Shaper Information Rate - sirTotal (Mbps),Lat,Lon,Lat_2,Lon_2,Lat_3,Lon_3,Lat_4,Lon_4,Lat_5,Lon_5,Lat_6,Lon_6,Lat_7,Lon_7,Lat_8,Lon_8,Dump_Date,Dump_NRCEL
401001,台中北屯國票S,台中北屯國票S,行動中區營運處,台中營運中心,台中基維一股,臺中市,北屯區,onAir [5],,,台中北屯國票S,S400,1+0+0,Small_Cell,0,,,,,,1,306,1,,,,,,,FWHN_L2600,,1*FWHN,Indoor,FLF21B,FLF21SP2_2.0,10.129.2.23,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR411,,1*FWHN,200,24.1654234,120.694289,,,,,,,,,,,,,,,44778.73249,
401004,台中台中一中S,台中台中一中S,行動中區營運處,台中營運中心,台中基維一股,臺中市,北區,onAir [5],,,台中台中一中S,S400,1+0+0,Small_Cell,0,,,,,,1,373,1,,,,,,,FWHN_L2600,,1*FWHN,Indoor,FLF21B,FLF21SP2_2.0,10.129.3.65,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR411,,1*FWHN,200,24.1514069,120.6851,,,,,,,,,,,,,,,44778.73249,
401006,台中水湳神腦S,台中水湳神腦S,行動中區營運處,台中營運中心,台中基維一股,臺中市,西屯區,onAir [5],,,台中水湳神腦S,S400,1+0+0,Small_Cell,0,,,,,,1,472,1,,,,,,,FWHN_L2600,,1*FWHN,Indoor,FLF21B,FLF21SP2_2.0,10.129.3.5,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR411,,1*FWHN,200,24.1778424,120.668692,,,,,,,,,,,,,,,44778.73249,
401015,台中精科震虎科技S,台中精科震虎科技S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南屯區,onAir [5],,,台中精科震虎科技S,S300,1+0+0,Small_Cell,0,,,,,,1,471,1,,,,,,,FWEA_L1800,,1*FWEA,Indoor,FLF21B,FLF21SP2_2.0,10.131.1.212,LoosePhaseAndTimeSync [2],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR412,,1*FWEA,200,24.149029,120.599761,,,,,,,,,,,,,,,44778.73249,
401016,南屯星巴克咖啡店S,南屯星巴克咖啡店S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南屯區,onAir [5],,,南屯星巴克咖啡店S,S004,0+0+1,Small_Cell,0,,,,,,3,189,1,,,,,,,FWHN_L2600,,1*FWHN,Outdoor & Indoor,FLF21B,FLF21SP2_2.0,10.131.10.79,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR412,,1*FWHN,200,24.13761,120.63289,,,,,,,,,,,,,,,44778.73249,
401018,南區檸檬樹第五期S,南區檸檬樹第五期S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南區,onAir [5],,,南區檸檬樹第五期S,S004,0+0+1,Small_Cell,0,,,,,,3,69,1,,,,,,,FWHN_L2600,,1*FWHN,Outdoor,FLF21B,FLF21SP2_2.0,10.131.10.200,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR412,,1*FWHN,200,24.130257,120.660832,,,,,,,,,,,,,,,44778.73249,
401019,台中三民西路S,台中三民西路S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南區,onAir [5],,,台中三民西路S,S400,1+0+0,Small_Cell,0,,,,,,1,18,1,,,,,,,FWHN_L2600,,1*FWHN,Outdoor,FLF21B,FLF21SP2_2.0,10.129.2.6,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR411,,1*FWHN,200,24.13005,120.65558,,,,,,,,,,,,,,,44778.73249,
401020,南屯大城雪梨社區S,南屯大城雪梨社區S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南屯區,onAir [5],,,南屯大城雪梨社區S,S030,0+1+0,Small_Cell,0,,,,,,2,444,1,,,,,,,FWEA_L1800,,1*FWEA,Outdoor,FLF21B,FLF21SP2_2.0,10.131.7.46,LoosePhaseAndTimeSync [2],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR412,,1*FWEA,200,24.146302,120.613188,,,,,,,,,,,,,,,44778.73249,
401021,台中龍觀天下S,台中龍觀天下S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南屯區,onAir [5],,,台中龍觀天下S,S300,1+0+0,Small_Cell,0,,,,,,1,95,1,,,,,,,FWEA_L1800,,1*FWEA,Indoor,FLF21B,FLF21SP2_2.0,10.131.0.197,LoosePhaseAndTimeSync [2],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR412,,1*FWEA,200,24.149524,120.647008,,,,,,,,,,,,,,,44778.73249,
401022,台中日曜天地S,台中日曜天地S,行動中區營運處,台中營運中心,台中基維二股,臺中市,中區,onAir [5],,,台中日曜天地S,S300,1+0+0,Small_Cell,0,,,,,,1,470,1,,,,,,,FWEA_L1800,,1*FWEA,Outdoor,FLF21B,FLF21SP2_2.0,10.129.0.3,LoosePhaseAndTimeSync [2],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR411,,1*FWEA,200,24.141481,120.683637,,,,,,,,,,,,,,,44778.73249,
401023,南區裕國大廈S,南區裕國大廈S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南區,onAir [5],,,南區裕國大廈S,S400,1+0+0,Small_Cell,0,,,,,,1,66,1,,,,,,,FWHN_L2600,,1*FWHN,Outdoor & Indoor,FLF21B,FLF21SP2_2.0,10.129.2.142,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR411,,1*FWHN,200,24.126373,120.662692,,,,,,,,,,,,,,,44778.73249,
401024,台中潘朵拉大樓S,台中潘朵拉大樓S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南屯區,onAir [5],,,台中潘朵拉大樓S,S300,1+0+0,Small_Cell,0,,,,,,1,141,1,,,,,,,FWEA_L1800,,1*FWEA,Indoor,FLF21B,FLF21SP2_2.0,10.129.0.137,LoosePhaseAndTimeSync [2],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR411,,1*FWEA,200,24.15254,120.63684,,,,,,,,,,,,,,,44778.73249,
401025,南屯精銳海德一號S,南屯精銳海德一號S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南屯區,onAir [5],,,南屯精銳海德一號S,S300,1+0+0,Small_Cell,0,,,,,,1,472,1,,,,,,,FWEA_L1800,,1*FWEA,Indoor,FLF21B,FLF21SP2_2.0,10.131.10.98,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR412,,1*FWEA,200,24.14634,120.64318,,,,,,,,,,,,,,,44778.73249,
401026,精科明基三豐醫療S,精科明基三豐醫療S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南屯區,onAir [5],,,精科明基三豐醫療S,S400,1+0+0,Small_Cell,0,,,,,,1,502,1,,,,,,,FWHN_L2600,,1*FWHN,Indoor,FLF21B,FLF21SP2_2.0,10.131.1.223,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR412,,1*FWHN,200,24.1495,120.5888,,,,,,,,,,,,,,,44778.73249,
401028,精科高偉精密公司S,精科高偉精密公司S,行動中區營運處,台中營運中心,台中基維二股,臺中市,南屯區,onAir [5],,,精科高偉精密公司S,S400,1+0+0,Small_Cell,0,,,,,,1,496,1,,,,,,,FWHN_L2600,,1*FWHN,Indoor,FLF21B,FLF21SP2_2.0,10.129.2.139,FreqSync [0],,,1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR411,,1*FWHN,200,24.148865,120.588863,,,,,,,,,,,,,,,44778.73249,
